name,market_value_eur,contract_until,tm_photo_url,tm_id,age,foot,height,position,dob
Augusto Batalla,6000000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/275218-1775761484.jpg,275218.0,,,,,
Dani Cárdenas,1800000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/397676-1663571879.jpg,397676.0,29.0,right,1.86,Goalkeeper,1997-03-28
Andrei Rațiu,18000000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/527966-1765462531.jpg,527966.0,,,,,
Iván Balliu,1000000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/85295-1688119678.jpg,85295.0,,,,,
Pep Chavarría,10000000.0,2030-06-30,https://img.a.transfermarkt.technology/portrait/big/596122-1744713547.jpg,596122.0,28.0,left,1.74,Left-Back,1998-04-10
Alfonso Espino,900000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/311044-1635328827.jpg,311044.0,,,,,
Nobel Mendy,7500000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/1034853-1736244947.jpg,1034853.0,,,,,
Abdul Mumin,3000000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/451801-1776270192.jpg,451801.0,,,,,
Luiz Felipe,2000000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/457931-1595857216.jpg,457931.0,29.0,right,1.87,Centre-Back,1997-03-22
Jozhua Vertrouwd,2000000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/765467-1691072211.jpg,765467.0,,,,,
Florian Lejeune,1800000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/127108-1496825998.jpg,127108.0,,,,,
Gerard Gumbau,1200000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/268670-1499871303.jpg,268670.0,31.0,left,1.88,Defensive Midfield,1994-12-18
Pedro Díaz,3000000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/363057-1664207844.jpg,363057.0,28.0,right,1.8,Central Midfield,1998-06-05
Unai López,2500000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/192009-1726662500.jpg,192009.0,30.0,right,1.7,Central Midfield,1995-10-30
Óscar Valentín,2000000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/517753-1765909833.jpg,517753.0,31.0,right,1.77,Central Midfield,1994-08-20
Pathé Ciss,1800000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/525578-1775761248.jpg,525578.0,,,,,
Samu Becerra,300000.0,2027-06-30,https://img.a.transfermarkt.technology/portrait/big/1384911-1773220130.jpg,1384911.0,20.0,right,1.73,Central Midfield,2006-06-01
Isi Palazón,2800000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/362086-1726662958.jpg,362086.0,31.0,left,1.69,Second Striker,1994-12-27
Randy Nteka,1000000.0,2028-06-30,https://img.a.transfermarkt.technology/portrait/big/560483-1600680162.jpg,560483.0,28.0,left,1.89,Attacking Midfield,1997-12-06
Óscar Trejo,300000.0,2026-06-30,https://img.a.transfermarkt.technology/portrait/big/30321-1653039805.jpg,30321.0,,,,,
