id_jugador,jugador,imagen,valor_eur,contrato,edad,nacimiento,pie,altura,posicion,dorsal,equipo,opta_name
262396,Unai Simón,https://img.a.transfermarkt.technology/portrait/big/262396-1709674901.png,22000000.0,2029-06-30,28.0,1997-06-11,right,1.9,Goalkeeper,1.0,Athletic Club,Unai Simón
834483,Álex Padilla,https://img.a.transfermarkt.technology/portrait/big/834483-1709676711.png,3000000.0,2029-06-30,22.0,2003-09-01,right,1.9,Goalkeeper,27.0,Athletic Club,Á. Padilla
524000,Dani Vivian,https://img.a.transfermarkt.technology/portrait/big/524000-1709674998.png,20000000.0,2032-06-30,26.0,1999-07-05,right,1.84,Centre-Back,3.0,Athletic Club,Dani Vivian
176553,Aymeric Laporte,https://img.a.transfermarkt.technology/portrait/big/176553-1685546335.jpg,8000000.0,2028-06-30,32.0,1994-05-27,left,1.91,Centre-Back,14.0,Athletic Club,Aymeric Laporte
591916,Aitor Paredes,https://img.a.transfermarkt.technology/portrait/big/591916-1709675052.png,7500000.0,2029-06-30,26.0,2000-04-29,right,1.85,Centre-Back,4.0,Athletic Club,Aitor Paredes
255488,Yeray Álvarez,https://img.a.transfermarkt.technology/portrait/big/255488-1709675129.png,900000.0,2028-06-30,31.0,1995-01-24,right,1.82,Centre-Back,5.0,Athletic Club,nan
834485,Unai Egiluz,https://img.a.transfermarkt.technology/portrait/big/834485-1709676798.png,400000.0,2028-06-30,24.0,2002-03-19,right,1.86,Centre-Back,13.0,Athletic Club,Unai Egiluz
710671,Adama Boiro,https://img.a.transfermarkt.technology/portrait/big/710671-1709677000.png,2500000.0,2029-06-30,23.0,2002-06-22,left,1.83,Left-Back,19.0,Athletic Club,Adama Boiro
61812,Yuri Berchiche,https://img.a.transfermarkt.technology/portrait/big/61812-1709675167.png,1000000.0,2026-06-30,36.0,1990-02-10,left,1.81,Left-Back,17.0,Athletic Club,nan
488626,Jesús Areso,https://img.a.transfermarkt.technology/portrait/big/488626-1675800186.jpg,5000000.0,2031-06-30,26.0,1999-07-02,right,1.82,Right-Back,12.0,Athletic Club,Jesús Areso
289255,Andoni Gorosabel,https://img.a.transfermarkt.technology/portrait/big/289255-1739190147.jpeg,3000000.0,2028-06-30,29.0,1996-08-04,right,1.74,Right-Back,2.0,Athletic Club,Andoni Gorosabel
255501,Iñigo Lekue,https://img.a.transfermarkt.technology/portrait/big/255501-1709675295.png,1000000.0,2026-06-30,33.0,1993-05-04,right,1.8,Right-Back,15.0,Athletic Club,Íñigo Lekue
300168,Mikel Vesga,https://img.a.transfermarkt.technology/portrait/big/300168-1709675412.png,1200000.0,2027-06-30,33.0,1993-04-08,left,1.91,Defensive Midfield,6.0,Athletic Club,Mikel Vesga
938729,Mikel Jauregizar,https://img.a.transfermarkt.technology/portrait/big/938729-1709675994.png,30000000.0,2031-06-30,22.0,2003-11-13,right,1.77,Central Midfield,18.0,Athletic Club,Mikel Jauregizar
625047,Beñat Prados,https://img.a.transfermarkt.technology/portrait/big/625047-1709675858.png,15000000.0,2031-06-30,25.0,2001-02-08,right,1.8,Central Midfield,24.0,Athletic Club,Beñat Prados
834491,Alejandro Rego,https://img.a.transfermarkt.technology/portrait/big/834491-1709677367.png,5000000.0,2026-06-30,22.0,2003-06-11,right,1.92,Central Midfield,30.0,Athletic Club,Alejandro Rego
1312698,Selton Sánchez,https://img.a.transfermarkt.technology/portrait/big/1312698-1731353776.png,2800000.0,2029-06-30,19.0,2007-02-20,right,1.85,Central Midfield,44.0,Athletic Club,Ibon Sánchez
126751,Iñigo Ruiz de Galarreta,https://img.a.transfermarkt.technology/portrait/big/126751-1709675810.png,2000000.0,2027-06-30,32.0,1993-08-06,right,1.75,Central Midfield,16.0,Athletic Club,Íñigo Ruíz de Galarreta
