team,tm_club_id
AS Monaco FC,
Aalborg BK,1053
Aarhus Gymnastikforening,678
Adana Demir Spor Kulübü,
Alanyaspor Kulübü,
Antalyaspor Kulübü,
Association Jeunesse Auxerroise,
Borussia VfL Mönchengladbach,
Braunschweiger TSV Eintracht 1895,
Brighton & Hove Albion FC,
Bristol City FC,
Brøndby IF,206
CF Cruz Azul,
Cardiff City FC,
Cercle Brugge KSV,
Charlton Athletic FC,
Club Foot Estrela,
Club Tijuana Xoloitzcuintles de Caliente,
Coventry City FC,
DSC Arminia Bielefeld,
Derby County FC,
Düsseldorfer TuS Fortuna 1895,
En Avant Guingamp,
Espérance Sportive Troyes Aube Champagne,
FC Fredericia,5776
FC København,190
FC Midtjylland,865
FC Nordsjælland,2778
Fatih Karagümrük Spor Kulübü,
Göztepe Spor Kulübü,
Hatay Spor Kulübü,
Hellas Verona FC,
Hull City AFC,
Kasımpaşa Spor Kulübü,
Kayseri Spor Kulübü,
Kieler SV Holstein 1900,
Koninklijke Beerschot VA,
Konyaspor Kulübü,
Lille OSC,
Luton Town FC,
Lyngby Boldklub,369
Norwich City FC,
Nottingham Forest FC,
OGC Nice Côte d'Azur,
Odense Boldklub,466
Oxford United FC,
Plymouth Argyle FC,
Preston North End FC,
Queens Park Rangers FC,
Racing Club Ferrol,
Randers FC,5724
Reial Club Deportiu Espanyol de Barcelona,
Royal Standard de Liège,
Sheffield United FC,
Sheffield Wednesday FC,
Silkeborg IF,1177
Stade Lavallois Mayenne FC,
Stoke City FC,
Sønderjyske Fodbold,5817
Tottenham Hotspur FC,
US Boulogne CO,
US Sassuolo Calcio,
US du Littoral de Dunkerque,
Vejle Boldklub,443
VfB Stuttgart 1893,79
Viborg FF,1063
West Bromwich Albion FC,
West Ham United FC,
Wolverhampton Wanderers FC,
Çaykur Rize Spor Kulübü,
