opta_id,opta_name,tm_id,tm_name,canonical_name,match_type,match_confidence,last_verified
bm1u3j4bbobuxszwze6j7zgfd,A. Abdallah,,,a abdallah,unmatched,0.00,2026-06-07
dxtq961yq2tp5fv5ogi3h4fkl,A. Abdennour,,,a abdennour,unmatched,0.00,2026-06-07
d4byfkr3jergb1v1nakrmgvdh,A. Abdi,,,a abdi,unmatched,0.00,2026-06-07
74x4p1dpfu4w8fzsgdewyrnc9,A. Abeid,,,a abeid,unmatched,0.00,2026-06-07
8j92twrz92wxgtmmrtv9mt6y2,A. Abid,,,a abid,unmatched,0.00,2026-06-07
eb5bqq1qjpi4by5jz69yezglx,A. Acosta,,,a acosta,unmatched,0.00,2026-06-07
1r8owdjpmvjknnwqqouyplsk5,A. Adomah,,,a adomah,unmatched,0.00,2026-06-07
9r5wts47bv195z3rm8gajztg,A. Ahmed,,,a ahmed,unmatched,0.00,2026-06-07
8acma9qalcndikqy03xono1sk,A. Ahoussou,,,a ahoussou,unmatched,0.00,2026-06-07
7r2ddll6m4z4e1l7kdaypobft,A. Aktaş,,,a aktas,unmatched,0.00,2026-06-07
euves072a0s93et7azl9k0onp,A. Al Badaoui,,,a al badaoui,unmatched,0.00,2026-06-07
3krglbuxncb1fvl3p1sezhoq2,A. Al Dakhil,,,a al dakhil,unmatched,0.00,2026-06-07
78n7z9tmen93v4l0nj1vnlujt,A. Albanese,,,a albanese,unmatched,0.00,2026-06-07
bd9ov8z9402i9cceuu4dv4nv9,A. Aldrete,,,a aldrete,unmatched,0.00,2026-06-07
es6pjawg9rq2io8hjxf0rqaxh,A. Alipour,,,a alipour,unmatched,0.00,2026-06-07
9jms7kjzpcdj9b3oiy37rd8bu,A. Alonso,,,a alonso,unmatched,0.00,2026-06-07
eqrv5uz4xatspfd9m2uhqxxjo,A. Amarilla,,,a amarilla,unmatched,0.00,2026-06-07
boru4r6jmb64ybfjlnbbtwdn8,A. Amraoui,,,a amraoui,unmatched,0.00,2026-06-07
696i0ur3sujuz23ylejnx10b9,A. Andersen,,,a andersen,unmatched,0.00,2026-06-07
dg2scgqi9fb7fa7bjhm8kq21,A. Andrade,,,a andrade,unmatched,0.00,2026-06-07
7e9glnj6i9jv30av9ip8pw4,A. Anello,,,a anello,unmatched,0.00,2026-06-07
